Crime_ID,Crime_Type,Time_of_Happening,Location,Day_of_Week,Severity,Reported_Time,Nearby_Landmark,Frequency_in_Last_30_Days
24,Sexual Harassment,08:00,Karawal Nagar,Wednesday,Minor,01:05,School,21
25,Stalking,12:50,Delhi Cantonment,Friday,Severe,07:02,Apartment Complex,0
26,Human Trafficking,04:52,Mandoli,Sunday,Minor,11:50,Market,7
27,Dowry Death,03:35,Gokal Pur,Sunday,Minor,15:32,Mall,21
28,Honor Killing,21:30,Burari,Friday,Moderate,12:11,Police Station,8
29,Human Trafficking,06:34,Hastsal,Friday,Moderate,06:11,Temple,10
30,Sexual Harassment,19:14,Sultan Pur Majra,Wednesday,Severe,07:50,Police Station,26
31,Dowry Death,18:06,Delhi Cantonment,Wednesday,Moderate,10:48,Park,1
32,Domestic Violence,04:11,Mustafabad,Sunday,Minor,15:33,Park,20
33,Sexual Harassment,17:55,Kirari Suleman Nagar,Thursday,Moderate,01:38,Police Station,21
34,Honor Killing,18:06,Deoli,Tuesday,Moderate,06:37,Mall,4
35,Human Trafficking,20:43,Dallo Pura,Monday,Minor,19:54,Hospital,17
36,Honor Killing,13:15,Deoli,Saturday,Moderate,13:37,Temple,18
37,Acid Attack,21:49,Nangloi Jat,Sunday,Minor,14:27,Apartment Complex,32
38,Domestic Violence,09:49,Sultan Pur Majra,Wednesday,Severe,04:23,Apartment Complex,25
39,Human Trafficking,12:13,Bhalswa Jahangir Pur,Monday,Moderate,10:07,Temple,22
40,Human Trafficking,06:39,Karawal Nagar,Sunday,Minor,05:59,Apartment Complex,35
41,Domestic Violence,12:56,Burari,Saturday,Moderate,08:13,School,48
42,Human Trafficking,03:42,Dallo Pura,Friday,Minor,19:57,Police Station,30
43,Acid Attack,04:45,Sultan Pur Majra,Sunday,Severe,21:12,Hospital,44
44,Dowry Death,12:28,Gokal Pur,Saturday,Severe,05:43,Hospital,0
45,Acid Attack,18:57,Karawal Nagar,Sunday,Moderate,23:41,Apartment Complex,3
46,Dowry Death,11:46,Bhalswa Jahangir Pur,Wednesday,Moderate,13:22,Mall,3
47,Dowry Death,00:08,Sultan Pur Majra,Thursday,Severe,05:22,Temple,20
48,Eve Teasing,05:15,Nangloi Jat,Friday,Minor,20:09,School,24
49,Sexual Harassment,21:58,Delhi Cantonment,Thursday,Moderate,15:25,Park,15
50,Dowry Death,05:27,Gokal Pur,Monday,Moderate,01:59,Mall,9
51,Domestic Violence,09:16,Delhi Cantonment,Friday,Severe,07:30,Market,22
52,Domestic Violence,20:22,Burari,Thursday,Moderate,07:16,Hospital,17
53,Acid Attack,17:14,Burari,Monday,Severe,04:58,Hospital,1
54,Eve Teasing,21:47,Bhalswa Jahangir Pur,Thursday,Moderate,03:28,Mall,2
55,Acid Attack,16:44,Deoli,Thursday,Moderate,15:08,Mall,40
56,Domestic Violence,16:47,Karawal Nagar,Monday,Minor,15:55,Market,3
57,Eve Teasing,05:11,Bhalswa Jahangir Pur,Saturday,Severe,08:13,Mall,13
58,Acid Attack,21:26,Mandoli,Monday,Moderate,18:52,Police Station,33
59,Honor Killing,20:43,Mandoli,Thursday,Minor,03:47,Apartment Complex,15
60,Stalking,00:53,Karawal Nagar,Wednesday,Severe,21:17,Temple,49
61,Domestic Violence,20:35,Mandoli,Monday,Moderate,00:40,Police Station,5
62,Honor Killing,02:26,Delhi Cantonment,Wednesday,Minor,21:54,Apartment Complex,40
63,Dowry Death,14:14,Kirari Suleman Nagar,Thursday,Severe,20:43,Apartment Complex,33
64,Human Trafficking,21:19,Gokal Pur,Monday,Minor,12:52,Apartment Complex,45
65,Sexual Harassment,00:06,Mandoli,Tuesday,Severe,04:14,Temple,20
66,Eve Teasing,05:42,Mustafabad,Saturday,Moderate,22:57,Market,43
67,Sexual Harassment,17:16,Hastsal,Thursday,Minor,16:06,Mall,49
68,Domestic Violence,20:38,Sultan Pur Majra,Monday,Moderate,23:27,Temple,7
69,Honor Killing,21:03,Bhalswa Jahangir Pur,Thursday,Minor,15:58,Hospital,41
70,Human Trafficking,00:05,Gokal Pur,Thursday,Severe,18:04,Police Station,25
71,Acid Attack,22:11,Dallo Pura,Friday,Minor,11:57,Apartment Complex,4
72,Human Trafficking,20:51,Gokal Pur,Thursday,Minor,22:26,Temple,33
73,Acid Attack,13:48,Kirari Suleman Nagar,Tuesday,Severe,07:50,Park,1
74,Eve Teasing,13:48,Karawal Nagar,Monday,Minor,04:39,Police Station,47
75,Human Trafficking,10:10,Deoli,Monday,Moderate,20:11,Market,47
76,Human Trafficking,06:02,Delhi Cantonment,Thursday,Minor,01:00,Police Station,25
77,Human Trafficking,01:13,Nangloi Jat,Thursday,Minor,09:35,School,15
78,Honor Killing,01:53,Mandoli,Tuesday,Moderate,05:59,Police Station,41
79,Eve Teasing,00:03,Hastsal,Sunday,Moderate,08:15,Hospital,1
80,Dowry Death,04:06,Delhi Cantonment,Sunday,Severe,10:16,Police Station,33
81,Human Trafficking,20:58,Mustafabad,Monday,Minor,16:05,Market,50
82,Human Trafficking,08:16,Sultan Pur Majra,Monday,Severe,15:11,Apartment Complex,33
83,Honor Killing,20:02,Mandoli,Thursday,Moderate,08:47,Park,14
84,Dowry Death,23:32,Kirari Suleman Nagar,Friday,Severe,10:43,Police Station,23
85,Acid Attack,14:11,Burari,Monday,Severe,14:48,Park,11
86,Sexual Harassment,07:37,Mustafabad,Wednesday,Severe,12:39,Mall,33
87,Stalking,22:24,Karawal Nagar,Saturday,Moderate,18:09,Hospital,4
88,Dowry Death,19:07,Kirari Suleman Nagar,Wednesday,Moderate,15:04,Market,47
89,Eve Teasing,12:20,Karawal Nagar,Monday,Moderate,14:14,Temple,3
90,Stalking,03:39,Gokal Pur,Tuesday,Moderate,23:26,Apartment Complex,30
91,Human Trafficking,10:33,Karawal Nagar,Thursday,Severe,13:27,Park,32
92,Acid Attack,23:21,Kirari Suleman Nagar,Saturday,Minor,15:34,Park,47
93,Honor Killing,08:10,Bhalswa Jahangir Pur,Monday,Minor,14:49,School,8
94,Domestic Violence,15:04,Gokal Pur,Sunday,Severe,19:47,School,43
95,Sexual Harassment,20:36,Bhalswa Jahangir Pur,Monday,Severe,10:52,Park,17
96,Eve Teasing,16:02,Burari,Monday,Severe,06:02,School,27
97,Stalking,18:11,Delhi Cantonment,Saturday,Moderate,06:50,Temple,38
98,Acid Attack,12:08,Deoli,Wednesday,Severe,14:29,Police Station,10
99,Human Trafficking,00:00,Mustafabad,Monday,Minor,08:09,Hospital,4
100,Dowry Death,05:29,Karawal Nagar,Saturday,Severe,09:22,Police Station,43
101,Honor Killing,01:15,Mustafabad,Friday,Severe,16:58,Apartment Complex,50
102,Acid Attack,13:44,Deoli,Monday,Severe,18:57,Park,9
103,Stalking,15:25,Dallo Pura,Wednesday,Moderate,19:06,Market,10
104,Eve Teasing,02:09,Dallo Pura,Thursday,Severe,10:00,Park,13
105,Acid Attack,20:37,Bhalswa Jahangir Pur,Saturday,Severe,12:30,Police Station,36
106,Honor Killing,23:15,Gokal Pur,Wednesday,Moderate,20:59,Park,14
107,Sexual Harassment,11:57,Hastsal,Wednesday,Severe,17:14,Apartment Complex,25
108,Stalking,23:49,Bhalswa Jahangir Pur,Tuesday,Severe,03:26,School,6
109,Stalking,09:53,Mustafabad,Thursday,Minor,09:07,Police Station,42
110,Dowry Death,19:13,Delhi Cantonment,Saturday,Severe,22:07,Hospital,27
111,Stalking,06:36,Sultan Pur Majra,Sunday,Minor,11:32,Police Station,9
112,Honor Killing,02:39,Sultan Pur Majra,Monday,Minor,07:58,Hospital,15
113,Honor Killing,20:51,Mandoli,Thursday,Minor,15:33,Temple,39
114,Sexual Harassment,05:12,Nangloi Jat,Tuesday,Moderate,06:43,Mall,48
115,Human Trafficking,21:10,Gokal Pur,Saturday,Minor,05:11,School,46
116,Domestic Violence,07:39,Burari,Wednesday,Moderate,10:09,Park,25
117,Stalking,23:27,Delhi Cantonment,Wednesday,Moderate,17:25,School,39
118,Dowry Death,19:13,Mustafabad,Thursday,Minor,14:09,Hospital,45
119,Dowry Death,10:27,Dallo Pura,Tuesday,Moderate,04:28,Temple,9
120,Stalking,12:52,Nangloi Jat,Saturday,Moderate,04:37,Apartment Complex,9
121,Acid Attack,21:52,Gokal Pur,Saturday,Severe,19:57,Police Station,14
122,Stalking,05:18,Dallo Pura,Sunday,Severe,16:15,Market,49
123,Sexual Harassment,03:16,Burari,Wednesday,Minor,22:14,Temple,50
124,Honor Killing,02:04,Sultan Pur Majra,Sunday,Severe,11:57,Park,43
125,Honor Killing,22:22,Mustafabad,Friday,Severe,09:41,Apartment Complex,44
126,Acid Attack,20:32,Burari,Thursday,Severe,14:33,Hospital,48
127,Honor Killing,00:47,Delhi Cantonment,Wednesday,Minor,07:38,Apartment Complex,33
128,Stalking,03:11,Kirari Suleman Nagar,Sunday,Minor,02:23,Apartment Complex,41
129,Dowry Death,17:00,Nangloi Jat,Friday,Severe,06:59,Apartment Complex,18
130,Dowry Death,01:21,Hastsal,Tuesday,Moderate,03:15,Mall,45
131,Dowry Death,07:10,Gokal Pur,Friday,Moderate,01:32,Police Station,4
132,Honor Killing,19:59,Dallo Pura,Sunday,Severe,22:10,Temple,6
133,Sexual Harassment,22:44,Mandoli,Wednesday,Moderate,04:33,Hospital,45
134,Domestic Violence,13:23,Delhi Cantonment,Saturday,Moderate,02:20,Mall,14
135,Eve Teasing,12:03,Deoli,Saturday,Severe,20:03,Mall,22
136,Dowry Death,14:30,Sultan Pur Majra,Saturday,Moderate,17:28,Temple,14
137,Eve Teasing,05:13,Sultan Pur Majra,Tuesday,Moderate,09:04,Mall,10
138,Honor Killing,04:59,Kirari Suleman Nagar,Sunday,Severe,12:55,Park,50
139,Honor Killing,05:19,Bhalswa Jahangir Pur,Friday,Severe,01:20,Temple,15
140,Sexual Harassment,03:27,Dallo Pura,Friday,Moderate,06:26,Park,21
141,Acid Attack,02:56,Gokal Pur,Tuesday,Severe,06:08,Park,1
142,Acid Attack,16:11,Sultan Pur Majra,Monday,Minor,04:45,Police Station,44
143,Dowry Death,01:07,Delhi Cantonment,Monday,Severe,23:13,Hospital,9
144,Stalking,09:25,Mustafabad,Tuesday,Minor,01:14,Police Station,27
145,Domestic Violence,13:34,Mustafabad,Tuesday,Severe,02:57,Park,28
146,Stalking,06:22,Mandoli,Tuesday,Minor,21:31,Market,21
147,Stalking,07:00,Delhi Cantonment,Friday,Minor,20:07,School,24
148,Human Trafficking,11:11,Delhi Cantonment,Monday,Moderate,04:31,Market,11
149,Acid Attack,19:44,Nangloi Jat,Thursday,Severe,22:56,Hospital,15
150,Stalking,10:28,Sultan Pur Majra,Monday,Moderate,16:42,Apartment Complex,28
151,Dowry Death,20:52,Burari,Tuesday,Minor,15:39,Park,29
152,Domestic Violence,06:30,Sultan Pur Majra,Saturday,Minor,01:08,Market,3
153,Honor Killing,23:39,Dallo Pura,Saturday,Minor,13:55,Hospital,16
154,Stalking,19:57,Hastsal,Friday,Minor,13:03,Market,28
155,Eve Teasing,11:52,Karawal Nagar,Friday,Moderate,14:53,Apartment Complex,40
156,Honor Killing,10:39,Deoli,Thursday,Moderate,11:53,School,39
157,Honor Killing,16:55,Bhalswa Jahangir Pur,Saturday,Severe,10:14,Apartment Complex,33
158,Eve Teasing,20:24,Hastsal,Friday,Moderate,20:03,Park,17
159,Eve Teasing,10:06,Karawal Nagar,Thursday,Moderate,22:05,School,30
160,Honor Killing,10:11,Mustafabad,Thursday,Minor,20:30,Park,20
161,Sexual Harassment,17:02,Burari,Monday,Severe,00:49,Police Station,0
162,Sexual Harassment,10:34,Mustafabad,Friday,Moderate,22:24,Apartment Complex,41
163,Honor Killing,01:24,Nangloi Jat,Saturday,Severe,11:12,School,7
164,Sexual Harassment,11:26,Nangloi Jat,Monday,Moderate,13:57,Police Station,23
165,Human Trafficking,09:29,Bhalswa Jahangir Pur,Monday,Severe,15:24,Mall,2
166,Eve Teasing,03:36,Mustafabad,Thursday,Moderate,07:21,Mall,37
167,Acid Attack,23:32,Hastsal,Saturday,Moderate,09:56,Police Station,21
168,Eve Teasing,14:10,Mandoli,Thursday,Moderate,11:57,Temple,45
169,Acid Attack,16:15,Mustafabad,Saturday,Moderate,13:03,Market,5
170,Honor Killing,06:18,Delhi Cantonment,Monday,Severe,17:51,Apartment Complex,9
171,Eve Teasing,00:21,Nangloi Jat,Tuesday,Severe,19:04,Temple,19
172,Sexual Harassment,20:58,Nangloi Jat,Sunday,Severe,17:20,Hospital,0
173,Sexual Harassment,03:19,Dallo Pura,Wednesday,Severe,07:13,School,49
174,Domestic Violence,19:20,Mustafabad,Sunday,Severe,14:17,Park,42
175,Eve Teasing,01:32,Mandoli,Monday,Severe,04:51,Market,4
176,Honor Killing,22:23,Bhalswa Jahangir Pur,Thursday,Severe,14:32,Apartment Complex,28
177,Eve Teasing,10:40,Dallo Pura,Monday,Severe,11:17,Temple,2
178,Honor Killing,17:54,Hastsal,Monday,Moderate,18:09,School,32
179,Honor Killing,14:51,Burari,Sunday,Severe,21:18,Market,33
180,Acid Attack,02:49,Sultan Pur Majra,Friday,Moderate,18:43,Apartment Complex,11
181,Human Trafficking,17:28,Kirari Suleman Nagar,Monday,Severe,23:27,School,26
182,Acid Attack,03:01,Sultan Pur Majra,Thursday,Severe,08:23,Market,48
183,Eve Teasing,07:52,Hastsal,Monday,Minor,20:20,Apartment Complex,39
184,Eve Teasing,15:01,Sultan Pur Majra,Thursday,Severe,03:59,Apartment Complex,23
185,Honor Killing,18:05,Karawal Nagar,Thursday,Moderate,16:31,Market,15
186,Stalking,14:43,Karawal Nagar,Thursday,Moderate,18:08,Police Station,4
187,Acid Attack,03:23,Hastsal,Saturday,Minor,13:29,Hospital,29
188,Human Trafficking,03:28,Dallo Pura,Thursday,Moderate,17:31,Mall,31
189,Honor Killing,10:08,Mandoli,Friday,Minor,06:27,Mall,12
190,Sexual Harassment,16:28,Deoli,Saturday,Severe,03:10,Police Station,43
191,Human Trafficking,20:13,Sultan Pur Majra,Friday,Moderate,08:06,Mall,13
192,Eve Teasing,21:01,Nangloi Jat,Wednesday,Moderate,04:36,Market,35
193,Human Trafficking,17:44,Hastsal,Wednesday,Severe,23:23,School,41
194,Domestic Violence,01:44,Kirari Suleman Nagar,Friday,Severe,22:52,Market,12
195,Sexual Harassment,02:43,Karawal Nagar,Wednesday,Severe,12:34,Market,20
196,Stalking,03:37,Delhi Cantonment,Friday,Moderate,12:09,Market,43
197,Stalking,14:36,Karawal Nagar,Friday,Minor,23:21,Temple,23
198,Eve Teasing,15:29,Nangloi Jat,Saturday,Moderate,20:34,Temple,9
199,Acid Attack,20:38,Dallo Pura,Saturday,Moderate,16:18,Police Station,38
200,Acid Attack,05:23,Bhalswa Jahangir Pur,Sunday,Moderate,05:28,Temple,5
201,Stalking,12:41,Bhalswa Jahangir Pur,Wednesday,Severe,15:59,Temple,38
202,Stalking,09:36,Kirari Suleman Nagar,Tuesday,Minor,11:48,Hospital,28
203,Acid Attack,06:27,Karawal Nagar,Friday,Moderate,16:33,Police Station,23
204,Stalking,11:39,Hastsal,Thursday,Minor,05:18,Police Station,47
205,Honor Killing,12:50,Sultan Pur Majra,Monday,Moderate,00:28,Hospital,29
206,Stalking,13:13,Gokal Pur,Thursday,Minor,14:49,Mall,10
207,Dowry Death,09:44,Nangloi Jat,Thursday,Severe,06:57,Temple,6
208,Acid Attack,02:54,Mustafabad,Thursday,Minor,22:18,Park,30
209,Dowry Death,21:44,Bhalswa Jahangir Pur,Friday,Minor,16:53,Police Station,43
210,Domestic Violence,01:03,Gokal Pur,Wednesday,Moderate,10:52,Temple,19
211,Acid Attack,23:04,Delhi Cantonment,Sunday,Minor,04:06,School,17
212,Sexual Harassment,04:09,Mustafabad,Tuesday,Minor,01:37,Temple,16
213,Honor Killing,05:20,Sultan Pur Majra,Wednesday,Moderate,21:27,Hospital,2
214,Acid Attack,14:08,Sultan Pur Majra,Tuesday,Moderate,19:51,Park,21
215,Eve Teasing,16:53,Nangloi Jat,Friday,Severe,15:09,Mall,23
216,Human Trafficking,21:15,Mustafabad,Saturday,Severe,03:00,Park,43
217,Acid Attack,04:40,Karawal Nagar,Sunday,Severe,13:43,Hospital,19
218,Eve Teasing,21:15,Nangloi Jat,Tuesday,Severe,01:52,Market,19
219,Acid Attack,01:06,Kirari Suleman Nagar,Tuesday,Severe,15:51,Mall,8
220,Honor Killing,10:28,Mandoli,Tuesday,Severe,03:04,Hospital,34
221,Eve Teasing,19:55,Karawal Nagar,Tuesday,Minor,20:16,Park,5
222,Acid Attack,06:49,Dallo Pura,Friday,Moderate,22:49,Temple,6
223,Eve Teasing,11:44,Hastsal,Monday,Severe,09:52,School,37
224,Honor Killing,05:34,Nangloi Jat,Monday,Severe,04:50,Apartment Complex,32
225,Stalking,02:11,Sultan Pur Majra,Tuesday,Minor,21:44,School,16
226,Dowry Death,14:06,Hastsal,Saturday,Moderate,15:22,Apartment Complex,28
227,Honor Killing,07:21,Nangloi Jat,Saturday,Moderate,02:02,Park,45
228,Dowry Death,21:00,Gokal Pur,Sunday,Severe,04:57,Apartment Complex,17
229,Eve Teasing,01:22,Mustafabad,Thursday,Minor,02:58,Police Station,10
230,Dowry Death,21:31,Karawal Nagar,Wednesday,Severe,09:57,Hospital,45
231,Dowry Death,09:42,Kirari Suleman Nagar,Tuesday,Minor,12:44,School,42
232,Acid Attack,20:42,Bhalswa Jahangir Pur,Sunday,Moderate,08:37,Apartment Complex,20
233,Eve Teasing,19:41,Mandoli,Friday,Severe,23:06,Police Station,5
234,Stalking,15:47,Kirari Suleman Nagar,Thursday,Moderate,23:38,Park,11
235,Stalking,18:58,Deoli,Saturday,Moderate,10:03,Hospital,32
236,Human Trafficking,06:57,Dallo Pura,Friday,Severe,08:56,Mall,34
237,Dowry Death,20:35,Karawal Nagar,Sunday,Minor,03:29,Mall,43
238,Honor Killing,16:07,Deoli,Friday,Minor,00:01,Apartment Complex,46
239,Domestic Violence,14:01,Mustafabad,Thursday,Minor,23:44,School,40
240,Dowry Death,03:06,Deoli,Saturday,Severe,04:58,School,45
241,Acid Attack,19:25,Gokal Pur,Thursday,Moderate,15:52,Temple,42
242,Human Trafficking,06:07,Mandoli,Wednesday,Moderate,05:04,Park,30
243,Sexual Harassment,17:08,Delhi Cantonment,Thursday,Severe,04:29,School,15
244,Acid Attack,08:32,Nangloi Jat,Monday,Moderate,08:42,School,41
245,Honor Killing,06:15,Mustafabad,Sunday,Severe,05:27,Apartment Complex,33
246,Eve Teasing,10:14,Burari,Tuesday,Severe,19:57,Temple,48
247,Dowry Death,01:41,Kirari Suleman Nagar,Monday,Minor,07:25,Police Station,50
248,Dowry Death,23:55,Bhalswa Jahangir Pur,Tuesday,Minor,00:28,Apartment Complex,44
249,Human Trafficking,11:03,Mustafabad,Saturday,Moderate,20:29,Apartment Complex,9
250,Domestic Violence,17:55,Dallo Pura,Tuesday,Moderate,23:27,Market,33
251,Dowry Death,02:40,Delhi Cantonment,Sunday,Severe,17:41,Apartment Complex,14
252,Sexual Harassment,02:59,Kirari Suleman Nagar,Friday,Minor,00:29,Mall,9
253,Acid Attack,00:19,Hastsal,Tuesday,Minor,13:49,Temple,19
254,Sexual Harassment,00:19,Kirari Suleman Nagar,Sunday,Minor,09:38,Mall,31
255,Human Trafficking,22:21,Deoli,Sunday,Minor,14:28,Apartment Complex,24
256,Acid Attack,18:37,Hastsal,Tuesday,Minor,18:24,Mall,34
257,Sexual Harassment,07:40,Nangloi Jat,Thursday,Severe,14:41,Mall,48
258,Stalking,17:06,Karawal Nagar,Thursday,Severe,15:26,Temple,3
259,Domestic Violence,23:10,Mandoli,Sunday,Minor,15:33,Police Station,8
260,Sexual Harassment,09:45,Kirari Suleman Nagar,Monday,Minor,02:14,Hospital,7
261,Acid Attack,16:49,Deoli,Friday,Severe,05:26,Police Station,31
262,Eve Teasing,06:51,Mustafabad,Sunday,Minor,11:02,School,25
263,Acid Attack,03:42,Bhalswa Jahangir Pur,Monday,Severe,01:15,School,13
264,Dowry Death,09:42,Mandoli,Wednesday,Minor,19:42,Temple,47
265,Honor Killing,22:04,Gokal Pur,Monday,Minor,23:38,Police Station,15
266,Human Trafficking,11:54,Sultan Pur Majra,Sunday,Moderate,00:33,School,15
267,Acid Attack,19:43,Hastsal,Saturday,Minor,08:01,Hospital,44
268,Domestic Violence,01:23,Mandoli,Monday,Minor,03:37,Mall,5
269,Acid Attack,08:39,Sultan Pur Majra,Tuesday,Minor,21:04,Apartment Complex,7
270,Human Trafficking,11:37,Delhi Cantonment,Wednesday,Moderate,21:28,Market,40
271,Stalking,08:43,Dallo Pura,Tuesday,Severe,23:00,Temple,3
272,Eve Teasing,15:25,Delhi Cantonment,Friday,Minor,15:15,Park,15
273,Honor Killing,13:32,Bhalswa Jahangir Pur,Monday,Minor,07:43,Apartment Complex,47
274,Eve Teasing,16:20,Nangloi Jat,Thursday,Severe,11:00,School,40
275,Acid Attack,17:59,Hastsal,Monday,Minor,23:42,School,14
276,Stalking,03:50,Dallo Pura,Tuesday,Minor,02:04,Mall,42
277,Sexual Harassment,05:53,Sultan Pur Majra,Saturday,Moderate,02:21,Park,32
278,Eve Teasing,21:22,Burari,Sunday,Moderate,03:42,Park,7
279,Dowry Death,15:11,Mandoli,Wednesday,Minor,19:09,School,10
280,Domestic Violence,14:10,Mustafabad,Tuesday,Moderate,13:26,Police Station,38
281,Stalking,06:54,Mustafabad,Wednesday,Moderate,17:25,Market,43
282,Acid Attack,13:18,Nangloi Jat,Wednesday,Severe,01:05,Hospital,27
283,Sexual Harassment,11:38,Mustafabad,Tuesday,Moderate,19:25,School,46
284,Domestic Violence,12:30,Hastsal,Saturday,Minor,13:23,Park,43
285,Human Trafficking,01:05,Sultan Pur Majra,Tuesday,Minor,10:24,Apartment Complex,18
286,Dowry Death,11:09,Burari,Tuesday,Moderate,02:05,Temple,19
287,Dowry Death,15:54,Dallo Pura,Sunday,Severe,16:19,Temple,22
288,Human Trafficking,21:18,Bhalswa Jahangir Pur,Friday,Minor,20:57,Mall,49
289,Human Trafficking,08:14,Mustafabad,Tuesday,Severe,02:21,Park,10
290,Sexual Harassment,15:57,Mandoli,Tuesday,Severe,00:20,Police Station,15
291,Dowry Death,13:31,Gokal Pur,Sunday,Moderate,17:01,Apartment Complex,41
292,Honor Killing,22:45,Bhalswa Jahangir Pur,Saturday,Severe,07:15,Temple,15
293,Eve Teasing,12:27,Deoli,Thursday,Severe,04:10,Mall,49
294,Honor Killing,08:41,Dallo Pura,Wednesday,Minor,22:42,School,31
295,Honor Killing,20:04,Delhi Cantonment,Friday,Severe,01:04,Hospital,0
296,Stalking,02:48,Mustafabad,Wednesday,Minor,12:41,School,19
297,Honor Killing,01:18,Mandoli,Wednesday,Moderate,04:44,Market,24
298,Dowry Death,08:45,Sultan Pur Majra,Tuesday,Minor,01:48,Police Station,36
299,Domestic Violence,13:04,Sultan Pur Majra,Saturday,Moderate,23:27,Hospital,2
300,Eve Teasing,21:49,Deoli,Thursday,Moderate,21:52,Police Station,32
301,Eve Teasing,04:25,Dallo Pura,Friday,Minor,04:44,Temple,38
302,Honor Killing,12:19,Gokal Pur,Thursday,Minor,14:47,Mall,48
303,Eve Teasing,04:49,Mandoli,Friday,Moderate,01:49,Park,28
304,Acid Attack,06:43,Mustafabad,Monday,Severe,18:58,Hospital,34
305,Dowry Death,19:30,Deoli,Sunday,Moderate,04:04,Police Station,31
306,Stalking,03:10,Gokal Pur,Tuesday,Moderate,20:07,Apartment Complex,3
307,Dowry Death,13:36,Mustafabad,Friday,Severe,01:00,Market,4
308,Human Trafficking,23:20,Dallo Pura,Sunday,Severe,11:18,School,41
309,Sexual Harassment,03:59,Kirari Suleman Nagar,Friday,Minor,16:12,School,39
310,Honor Killing,14:09,Nangloi Jat,Friday,Moderate,08:02,Hospital,13
311,Sexual Harassment,12:22,Deoli,Wednesday,Severe,18:49,Mall,14
312,Human Trafficking,20:28,Nangloi Jat,Monday,Severe,18:15,Apartment Complex,41
313,Human Trafficking,00:03,Gokal Pur,Tuesday,Minor,07:02,Apartment Complex,6
314,Stalking,04:57,Dallo Pura,Wednesday,Severe,05:39,Park,3
315,Eve Teasing,07:06,Nangloi Jat,Tuesday,Minor,03:02,Temple,17
316,Domestic Violence,00:50,Kirari Suleman Nagar,Monday,Moderate,00:58,Market,21
317,Dowry Death,17:23,Deoli,Thursday,Severe,12:23,Police Station,26
318,Stalking,19:34,Kirari Suleman Nagar,Saturday,Severe,13:46,Police Station,25
319,Honor Killing,07:08,Hastsal,Sunday,Severe,19:48,Apartment Complex,17
320,Dowry Death,12:36,Karawal Nagar,Tuesday,Severe,22:47,Park,14
321,Acid Attack,03:03,Burari,Wednesday,Moderate,17:56,Mall,20
322,Eve Teasing,18:05,Bhalswa Jahangir Pur,Monday,Severe,11:50,Mall,34
323,Dowry Death,06:32,Delhi Cantonment,Monday,Moderate,11:08,Park,7
324,Eve Teasing,05:44,Mandoli,Wednesday,Minor,06:29,Temple,0
325,Sexual Harassment,15:28,Karawal Nagar,Friday,Minor,18:24,School,6
326,Dowry Death,15:35,Kirari Suleman Nagar,Monday,Minor,10:13,Temple,49
327,Human Trafficking,03:51,Nangloi Jat,Saturday,Moderate,04:59,Police Station,31
328,Domestic Violence,02:51,Sultan Pur Majra,Friday,Minor,21:34,Temple,27
329,Domestic Violence,07:53,Sultan Pur Majra,Friday,Severe,12:10,Park,19
330,Human Trafficking,15:42,Mustafabad,Friday,Minor,19:40,Police Station,36
331,Stalking,09:36,Nangloi Jat,Thursday,Minor,22:44,Police Station,36
332,Domestic Violence,10:26,Karawal Nagar,Saturday,Minor,12:31,Temple,4
333,Human Trafficking,10:15,Deoli,Friday,Minor,13:51,School,15
